Colegio,geo_shape
CEIP Alejandra Soler,"{""coordinates"":[[-0.37177808124664763,39.464340667280304],[-0.37187075214131704,39.4640481410629],[-0.37192063445892726,39.46390837689637],[-0.37198401812429416,39.46366547627885],[-0.37196920615868806,39.46361932347956],[-0.3720014217731806,39.46353860972895],[-0.37203870170623243,39.463475822684295],[-0.3720356005242439,39.46343976330473],[-0.37202266811555756,39.4634280981582],[-0.3720641758833191,39.46336324909932],[-0.3721189496934951,39.4633406647882],[-0.3724722333171863,39.46275931498174],[-0.3725096963006322,39.46273108246266],[-0.37258216341049005,39.46255262857174],[-0.3725919670642891,39.46249732896783],[-0.37264383047694793,39.462492982682384],[-0.3727501789606365,39.462329168191886],[-0.37274120262115895,39.46216064841497],[-0.37281855130591857,39.462160084410336],[-0.37290764266540016,39.46213963310737],[-0.37369262077116466,39.46216227840068],[-0.3737225667921767,39.46209455758595],[-0.3737757665976167,39.4620709225114],[-0.3738615062545756,39.46205252891672],[-0.37390223537318035,39.46203955948347]],""type"":""LineString""}"
CEIP Alejandra Soler,"{""coordinates"":[[-0.37267253351236856,39.45646752187467],[-0.3726328365291048,39.457077098277104],[-0.37260934561909437,39.4573326281788],[-0.37258565760457185,39.4577547048373],[-0.3725478892940313,39.458139819822115],[-0.3724675356027842,39.45820959438099],[-0.3725976048198706,39.45839901633973],[-0.3727306033284798,39.45834491435095],[-0.3728227511540518,39.458361249338935],[-0.37296247592288,39.45855680975153],[-0.3732287401481004,39.45894309613659],[-0.3731513713920221,39.45912855764634],[-0.37323346351777104,39.459246996967984],[-0.37347294050946556,39.459284041050665],[-0.3741608850562308,39.46026752413077],[-0.3741879578835289,39.46036998667242],[-0.3742315890096748,39.4604233487536],[-0.37434657606114713,39.4605356775069],[-0.3747520899289261,39.46111269763825],[-0.3749999569530491,39.461467015620265],[-0.3749593792245616,39.46159936004909]],""type"":""LineString""}"
CEIP L'Albereda,"{""coordinates"":[[-0.3506009657582375,39.45971956562224],[-0.3493398447545236,39.459452367666245],[-0.34814911783633906,39.45917021505265]],""type"":""LineString""}"
CEIP L'Albereda,"{""coordinates"":[[-0.345942167121646,39.45870908575827],[-0.3444701811757631,39.458378715703894],[-0.34421750878795515,39.458326521618226],[-0.34400719392169776,39.45828735684765],[-0.3410182286035474,39.45763526662784]],""type"":""LineString""}"
CEIP L'Albereda,"{""coordinates"":[[-0.34779258072711255,39.45561295223754],[-0.34760938555381254,39.45558487121775],[-0.34750709857095996,39.45556919207907],[-0.34739871968532815,39.45548724309779],[-0.3469542025244196,39.455640142864915],[-0.34692120167553187,39.45572224682411],[-0.34667497502355077,39.455929820130464],[-0.3466226911512717,39.45596169137128],[-0.34657174766032506,39.45611810614282],[-0.3465346433814403,39.45626427497043]],""type"":""LineString""}"
Colegio Salesianos,"{""coordinates"":[[-0.37295423615607337,39.491204228191634],[-0.3728297375616482,39.49111410937443],[-0.37260124524428423,39.490944554549664],[-0.3723682094662878,39.490770946192846],[-0.3720605857201134,39.49053967450129],[-0.3718798003518951,39.4904046296744],[-0.37185898285983127,39.490378668514836],[-0.3718621704282703,39.49032680417371],[-0.37177339822876687,39.49023812922838],[-0.37167310877877086,39.4902368165617],[-0.37159896001323833,39.4901965853829],[-0.37157175204362247,39.490176533507345],[-0.37136233285585735,39.49001566877179],[-0.3713395642188956,39.489965128907585],[-0.3712420651169345,39.48991162365092],[-0.371144250891989,39.48985556260415],[-0.3710028722596727,39.489755182747395],[-0.3708248953013338,39.48962211150774],[-0.37055929014558786,39.489424605592546],[-0.37033852043289256,39.489259498509384],[-0.37032353677670543,39.489215188525385],[-0.37016330109702533,39.489080606137804],[-0.3700479371253823,39.489048362542924],[-0.3699689801674095,39.488983009575655],[-0.36963927559657467,39.48874613372792],[-0.36941620837916417,39.48857667212694],[-0.3691889179202409,39.48840472446077],[-0.36893070210365136,39.48821869359029]],""type"":""LineString""}"
Colegio Salesianos,"{""coordinates"":[[-0.3751974531612377,39.49021298080198],[-0.37495888681587725,39.49011025618592],[-0.374785049347057,39.49003540273906],[-0.37474190333616797,39.48999456952473],[-0.37456254012115126,39.48995536923541],[-0.3744837104411733,39.490095665370454],[-0.3744817405388955,39.4901746034502],[-0.37438357021866253,39.49044097084317],[-0.37429462949815434,39.49068229061611],[-0.3741612900372805,39.491017809832194]],""type"":""LineString""}"
Colegio Salesianos,"{""coordinates"":[[-0.37652961204482316,39.48835631342921],[-0.37632446118095325,39.488644898996355],[-0.37599718587724235,39.489104352459755],[-0.375756765289177,39.489441413043295],[-0.37552222642616656,39.48975922356366],[-0.3753147262795844,39.49004837123877],[-0.3751974531612377,39.49021298080198],[-0.3750440459385176,39.490427980694065],[-0.3747640754694281,39.49084199486828],[-0.37459865659704095,39.49106498017673],[-0.37437903357794755,39.49137014899032],[-0.37431674466342885,39.491458395807136],[-0.37427300161850635,39.49147961844113],[-0.3742380187942072,39.491551114260005],[-0.3741912515418176,39.491657122106545],[-0.37406161324487053,39.49178890231568]],""type"":""LineString""}"
Colegio Nuestra Señora del Rosario,"{""coordinates"":[[-0.3321017567700608,39.46780341577061],[-0.3321358341469184,39.467623719738285],[-0.33216916049572665,39.46747386140819],[-0.3322244440735682,39.467203566606436],[-0.3321961144076209,39.467160713917686],[-0.3321537383417497,39.4671551880821],[-0.3321560926684924,39.46709357731179],[-0.3322044528719343,39.467082354540786],[-0.3322595022584849,39.46703216035237],[-0.33250713573720186,39.46580788505741],[-0.3324701030319687,39.46579093008638],[-0.33247014536546526,39.4657434612986],[-0.3324855930978665,39.46571309787974],[-0.33252722692521014,39.465714209382256],[-0.33253931873591475,39.46567235845372],[-0.33263622024302103,39.465192215864576]],""type"":""LineString""}"
CEIP La Purisima (Tres Forques),"{""coordinates"":[[-0.3967310238426222,39.46405837319038],[-0.39717634963591336,39.4640495633348],[-0.39742226794876684,39.46403923047862],[-0.39761031651630824,39.464015219526615],[-0.3979008427647872,39.464008752038964],[-0.3982326508461992,39.46399254785612],[-0.3984919469414404,39.4639878427455],[-0.39871040634805877,39.463967510685436],[-0.39910866490838887,39.463949131943814],[-0.39950679738482153,39.463935007488715],[-0.3998539301123963,39.46394277444945],[-0.3999950486039082,39.46392606893892],[-0.4003290471406517,39.463914442804274],[-0.40059287540150834,39.463899097639306],[-0.4006848297097822,39.463947457050054],[-0.4008287901232526,39.46393433113633],[-0.40095529360449134,39.46392844963551],[-0.4010385260411722,39.46388065246099],[-0.401431130153195,39.46386671757677],[-0.40146306521748143,39.46386992977633],[-0.4015767178602719,39.463866134990546],[-0.4016638620142147,39.46385228544762],[-0.40171228486393107,39.46385008793313],[-0.403236116426298,39.46379117242025],[-0.4033189280746729,39.46379242994852],[-0.40339004270754314,39.46382860470584],[-0.40339603881437824,39.46391305063034],[-0.4034728497218944,39.46501141759396],[-0.40361183549238583,39.464987622343706],[-0.40365495639219917,39.46497252833603],[-0.40402748901030605,39.465025065708275],[-0.40404499038652403,39.46496579288152],[-0.40417497614567555,39.46498452485739],[-0.40467278418580593,39.46506728207159]],""type"":""LineString""}"
