Latitud,Longitud,dlibre,regimen
39.50347799907377,-0.36327300000000073,CEP 9 D'OCTUBRE,PÚBLICO
39.50078299907378,-0.42405199999999965,CENTRE PRIVAT EL AVE MARÍA,CONCERTADO
39.494127999073825,-0.4187440000000003,CEIP CAMI DE L'HORTA,PÚBLICO
39.501157999073776,-0.41187199999999985,CEIP BENIMÀMET,PÚBLICO
39.42826099907423,-0.3649870000000001,CENTRE PRIVAT NUESTRA SEÑORA DEL ROSARIO,CONCERTADO
39.47887099907392,-0.3748980000000003,CENTRE PRIVAT SAGRADO CORAZÓN DE JESÚS -CARMELITAS-,CONCERTADO
39.46335299907402,-0.3672290000000008,CENTRE PRIVAT CENTRO DE ESTUDIOS GARCÍA BROCH,CONCERTADO
39.462985999074014,-0.368760999999999,CENTRE PRIVAT SAN JOSÉ HH. FRANCISCANAS DE LA INMACULADA,CONCERTADO
39.46746399907399,-0.3694129999999995,CENTRE PRIVAT SAN VICENTE FERRER-DOMINICOS,CONCERTADO
39.464984999074005,-0.3633829999999999,CENTRE PRIVAT SAGRADO CORAZÓN HH.MARISTAS,CONCERTADO
39.46016899907404,-0.3629990000000004,CENTRE PRIVAT LICEO CORBI,CONCERTADO
39.45121399907409,-0.3782729999999994,CENTRE PRIVAT ACADEMIA JARDÍN,CONCERTADO
39.465329999074,-0.38562699999999966,CENTRE PRIVAT NUESTRA SEÑORA DEL SOCORRO,CONCERTADO
39.47375299907396,-0.39371599999999995,CENTRE PRIVAT INMACULADO CORAZÓN DE MARÍA,CONCERTADO
39.46421599907401,-0.40519100000000124,CENTRE INTEGRAT LA PURÍSIMA-FRANCISCANAS,CONCERTADO
39.468410999073996,-0.4045409999999993,CENTRE PRIVAT NUESTRA SEÑORA DE FÁTIMA,CONCERTADO
39.48629799907387,-0.38620600000000027,CENTRE PRIVAT MANTELLATE,CONCERTADO
39.48559499907388,-0.3750430000000003,CENTRE PRIVAT MERCURIO,CONCERTADO
39.48354899907388,-0.3874720000000002,CENTRE PRIVAT MARÍA INMACULADA,CONCERTADO
39.49297199907382,-0.3734600000000013,CENTRE PRIVAT MARÍA AUXILIADORA,CONCERTADO
39.482836999073896,-0.38572300000000087,CENTRE PRIVAT SAN JUAN BOSCO,CONCERTADO
39.46730699907398,-0.3263150000000013,CEE PÚB. RUIZ JIMÉNEZ,PÚBLICO
39.49154799907384,-0.373888999999999,CENTRE PRIVAT SALESIANOS SAN ANTONIO ABAD,CONCERTADO
39.484070999073886,-0.36185100000000137,CENTRE PRIVAT CLARET,CONCERTADO
39.476145999073935,-0.3647050000000015,CENTRE PRIVAT SAN JOSÉ DE CALASANZ,CONCERTADO
39.482064999073906,-0.36358599999999985,CENTRE ESTRANGER COLEGIO ALEMÁN DE VALENCIA,PRIVADO
39.4817849990739,-0.3294569999999999,CENTRE PRIVAT ESCUELAS PÍAS-MALVARROSA,CONCERTADO
39.465809999074,-0.332432999999999,CENTRE PRIVAT PUREZA DE MARÍA,CONCERTADO
39.46147799907402,-0.342852,CENTRE PRIVAT TRAFALGAR,CONCERTADO
39.467076999073996,-0.3546940000000004,CENTRE PRIVAT SANTA ANA,CONCERTADO
39.46971499907397,-0.34168699999999824,CEIP PROFESOR SANTIAGO GRISOLIA,CONCERTADO
39.460599999074034,-0.3535360000000009,CENTRE PRIVAT AVE MARÍA DE PEÑARROCHA,CONCERTADO
39.44935899907411,-0.3331520000000005,CENTRE PRIVAT NUESTRA SEÑORA DE LOS DESAMPARADOS,CONCERTADO
39.47139799907396,-0.40611900000000006,CENTRE PRIVAT SOM ESCOLA,CONCERTADO
39.47188499907397,-0.41210299999999994,CENTRE PRIVAT SANTA CRUZ,CONCERTADO
39.47007499907398,-0.40960599999999997,CENTRE PRIVAT PUREZA DE MARÍA,CONCERTADO
39.465345999074,-0.4088599999999991,CENTRE PRIVAT CLARET FUENSANTA,CONCERTADO
39.489825999073865,-0.40248700000000104,CENTRE PRIVAT NIÑO JESÚS,CONCERTADO
39.49308799907382,-0.393555,CENTRE PRIVAT MARJO,CONCERTADO
39.49617599907381,-0.36849300000000046,CENTRE PRIVAT MARNI,CONCERTADO
39.478806999073925,-0.3814190000000012,CEIP SANTA TERESA,PÚBLICO
39.466306999074,-0.3741040000000004,CEIP SAN JUAN DE RIBERA,PÚBLICO
39.46019399907405,-0.3603279999999995,CEIP MONTOLIVET,PÚBLICO
39.470217999073974,-0.38894700000000054,CEIP TEODORO LLORENTE,PÚBLICO
39.47412699907394,-0.3358489999999992,CEIP NUESTRA SEÑORA DEL CARMEN,PÚBLICO
39.465792999074,-0.34179899999999896,CEIP JAUME I,PÚBLICO
39.468753999073975,-0.3373780000000007,CEIP SAN PEDRO,PÚBLICO
39.47531799907395,-0.32722900000000055,CEIP CAVITE-ISLA DE HIERRO,PÚBLICO
39.432368999074214,-0.37360000000000027,CEIP FORN D'ALCEDO,PÚBLICO
39.450882999074096,-0.3661829999999993,CEIP LES ARTS,PÚBLICO
39.43412699907419,-0.3935190000000007,CEIP PADRE MANJÓN,PÚBLICO
39.46059599907405,-0.39701500000000045,CEIP RODRÍGUEZ FORNOS,PÚBLICO
39.49134099907385,-0.391152,CEIP SALVADOR TUSET,PÚBLICO
39.49968199907378,-0.393271000000001,CEIP CIUTAT ARTISTA FALLER,PÚBLICO
39.468230999073995,-0.377174999999999,IES LUIS VIVES,PÚBLICO
39.46475799907402,-0.36772500000000086,IES SAN VICENTE FERRER,PÚBLICO
39.454850999074075,-0.39567900000000034,IES JUAN DE GARAY,PÚBLICO
39.47859299907391,-0.3256950000000012,IES ISABEL DE VILLENA,PÚBLICO
39.46769399907399,-0.33887000000000017,IES SOROLLA,PÚBLICO
39.46364599907402,-0.3680999999999998,CIPFP VICENTE BLASCO IBÁÑEZ,PÚBLICO
39.466488999073995,-0.4025980000000001,CEIP RAQUEL PAYA,PÚBLICO
39.44607799907413,-0.3917100000000005,CEIP SARA FERNÁNDEZ,PÚBLICO
39.4807219990739,-0.36430100000000104,CENTRE PRIV. ED. INF. 1er CICLE SANTA KLAUS,PRIVADO
39.47681699907393,-0.3830410000000006,CENTRE PRIVAT FP CIUTAT VELLA,CONCERTADO
39.49752499907381,-0.3991129999999986,CENTRE PRIVAT ARGOS,CONCERTADO
39.454121999074054,-0.3640690000000002,IES FONT DE SANT LLUÍS,PÚBLICO
